"Date","P/E","P/B","Div Yield"
"04-Jan-2010","       21.88","        3.56","        0.94"
"05-Jan-2010","       22.14","        3.61","        0.93"
"06-Jan-2010","       22.18","        3.61","        0.93"
"07-Jan-2010","       22.09","        3.60","        0.94"
"08-Jan-2010","       22.03","        3.59","        0.94"
"11-Jan-2010","       22.07","        3.59","        0.94"
"12-Jan-2010","       21.90","        3.57","        0.94"
"13-Jan-2010","       22.00","        3.58","        0.94"
"14-Jan-2010","       22.12","        3.60","        0.93"
"15-Jan-2010","       22.09","        3.59","        0.94"
"18-Jan-2010","       22.18","        3.61","        0.93"
"19-Jan-2010","       21.98","        3.58","        0.94"
"20-Jan-2010","       21.67","        3.57","        0.94"
"21-Jan-2010","       21.13","        3.49","        0.97"
"22-Jan-2010","       20.90","        3.45","        0.98"
"25-Jan-2010","       20.29","        3.42","        0.98"
"27-Jan-2010","       19.65","        3.31","        1.02"
"28-Jan-2010","       19.73","        3.33","        1.01"
"29-Jan-2010","       19.66","        3.34","        1.01"
"01-Feb-2010","       19.77","        3.36","        1.00"
"02-Feb-2010","       19.50","        3.31","        1.02"
"03-Feb-2010","       19.91","        3.38","        1.00"
"04-Feb-2010","       19.56","        3.32","        1.01"
"05-Feb-2010","       18.95","        3.24","        1.04"
"06-Feb-2010","       19.13","        3.27","        1.03"
"08-Feb-2010","       19.14","        3.27","        1.03"
"09-Feb-2010","       19.26","        3.29","        1.03"
"10-Feb-2010","       19.13","        3.27","        1.03"
"11-Feb-2010","       19.39","        3.31","        1.02"
"15-Feb-2010","       19.30","        3.30","        1.02"
"16-Feb-2010","       19.50","        3.33","        1.01"
"17-Feb-2010","       19.73","        3.37","        1.00"
"18-Feb-2010","       19.62","        3.35","        1.01"
"19-Feb-2010","       19.44","        3.32","        1.02"
"22-Feb-2010","       19.46","        3.32","        1.02"
"23-Feb-2010","       19.49","        3.33","        1.01"
"24-Feb-2010","       19.46","        3.32","        1.02"
"25-Feb-2010","       19.46","        3.32","        1.02"
"26-Feb-2010","       19.60","        3.37","        1.00"
"02-Mar-2010","       19.98","        3.44","        0.98"
"03-Mar-2010","       20.28","        3.49","        0.97"
"04-Mar-2010","       20.29","        3.49","        0.97"
"05-Mar-2010","       20.34","        3.50","        0.97"
"08-Mar-2010","       20.48","        3.52","        0.96"
"09-Mar-2010","       20.37","        3.50","        0.96"
"10-Mar-2010","       20.41","        3.51","        0.96"
"11-Mar-2010","       20.45","        3.52","        0.96"
"12-Mar-2010","       20.47","        3.52","        0.96"
"15-Mar-2010","       20.42","        3.51","        0.96"
"16-Mar-2010","       20.67","        3.55","        0.95"
"17-Mar-2010","       20.79","        3.57","        0.95"
"18-Mar-2010","       20.85","        3.58","        0.94"
"19-Mar-2010","       20.92","        3.60","        0.94"
"22-Mar-2010","       20.69","        3.56","        0.95"
"23-Mar-2010","       20.78","        3.57","        0.95"
"25-Mar-2010","       20.90","        3.59","        0.94"
"26-Mar-2010","       21.01","        3.61","        0.94"
"29-Mar-2010","       21.09","        3.63","        0.93"
"30-Mar-2010","       20.97","        3.60","        0.94"
"31-Mar-2010","       20.93","        3.60","        0.94"
"01-Apr-2010","       21.09","        3.63","        0.93"
"05-Apr-2010","       21.40","        3.68","        0.92"
"06-Apr-2010","       21.40","        3.68","        0.92"
"07-Apr-2010","       21.44","        3.69","        0.92"
