"Date","P/E","P/B","Div Yield"
"01-Jan-2021","       38.55","        3.97","        1.13"
"04-Jan-2021","       38.87","        4.01","        1.12"
"05-Jan-2021","       39.05","        4.02","        1.12"
"06-Jan-2021","       38.90","        4.01","        1.12"
"07-Jan-2021","       38.88","        4.01","        1.12"
"08-Jan-2021","       39.45","        4.07","        1.11"
"11-Jan-2021","       39.72","        4.10","        1.10"
"12-Jan-2021","       39.94","        4.13","        1.09"
"13-Jan-2021","       39.94","        4.13","        1.09"
"14-Jan-2021","       40.03","        4.14","        1.09"
"15-Jan-2021","       39.34","        4.09","        1.10"
"18-Jan-2021","       38.92","        4.05","        1.11"
"19-Jan-2021","       39.22","        4.12","        1.09"
"20-Jan-2021","       39.55","        4.15","        1.08"
"21-Jan-2021","       39.41","        4.13","        1.09"
"22-Jan-2021","       38.86","        4.07","        1.10"
"25-Jan-2021","       38.42","        4.04","        1.11"
"27-Jan-2021","       37.52","        3.96","        1.14"
"28-Jan-2021","       36.96","        3.92","        1.15"
"29-Jan-2021","       36.57","        3.86","        1.16"
"01-Feb-2021","       38.26","        4.05","        1.11"
"02-Feb-2021","       38.79","        4.15","        1.08"
"03-Feb-2021","       39.16","        4.19","        1.07"
"04-Feb-2021","       40.81","        4.22","        1.07"
"05-Feb-2021","       41.46","        4.23","        1.06"
"08-Feb-2021","       42.00","        4.28","        1.05"
"09-Feb-2021","       41.97","        4.28","        1.05"
"10-Feb-2021","       41.81","        4.28","        1.05"
"11-Feb-2021","       41.65","        4.30","        1.05"
"12-Feb-2021","       41.58","        4.30","        1.05"
"15-Feb-2021","       41.59","        4.34","        1.04"
"16-Feb-2021","       41.78","        4.34","        1.04"
"17-Feb-2021","       41.49","        4.31","        1.04"
"18-Feb-2021","       41.26","        4.28","        1.05"
"19-Feb-2021","       40.88","        4.24","        1.06"
"22-Feb-2021","       40.05","        4.16","        1.08"
"23-Feb-2021","       40.14","        4.17","        1.08"
"24-Feb-2021","       40.88","        4.24","        1.06"
"25-Feb-2021","       41.20","        4.28","        1.05"
"26-Feb-2021","       39.65","        4.12","        1.09"
"01-Mar-2021","       40.28","        4.18","        1.08"
"02-Mar-2021","       40.71","        4.23","        1.06"
"03-Mar-2021","       41.60","        4.32","        1.04"
"04-Mar-2021","       41.15","        4.27","        1.05"
"05-Mar-2021","       40.76","        4.23","        1.06"
"08-Mar-2021","       40.74","        4.24","        1.06"
"09-Mar-2021","       41.12","        4.28","        1.05"
"10-Mar-2021","       41.33","        4.30","        1.05"
"12-Mar-2021","       40.94","        4.26","        1.06"
"15-Mar-2021","       40.66","        4.23","        1.06"
"16-Mar-2021","       40.61","        4.23","        1.07"
"17-Mar-2021","       40.10","        4.17","        1.08"
"18-Mar-2021","       39.65","        4.13","        1.09"
"19-Mar-2021","       40.16","        4.18","        1.08"
"22-Mar-2021","       40.14","        4.18","        1.08"
