Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2007-09-17,8956.0302734375,9016.07893882762,8887.430989027425,8956.98045072238,0
2007-09-18,9069.728515625,9084.927446349157,8934.73107388077,8962.530351760783,0
2007-09-19,9277.2744140625,9300.073786758658,9099.777777181807,9099.777777181807,0
2007-09-20,9306.4228515625,9358.872050702157,9255.474600477688,9279.92335487007,0
2007-09-21,9371.6220703125,9410.121340167429,9291.273984752339,9294.273927857917,0
2007-09-24,9607.0185546875,9615.917800491288,9340.4230092921,9375.52293159272,0
2007-09-25,9586.71875,9664.267085370577,9469.62038273827,9619.017942711109,0
2007-09-26,9645.4169921875,9782.215183430146,9593.968747509824,9601.417825226044,0
2007-09-27,9603.5185546875,9782.064982353908,9584.118530993892,9691.016899746763,0
2007-09-28,9820.7138671875,9838.112950791652,9616.517550146935,9616.517550146935,0
2007-10-01,10017.66015625,10068.1093974708,9809.364290835943,9831.464458816972,0
2007-10-03,10102.458984375,10255.50588935915,9693.36614931534,10053.109333440714,0
2007-10-04,10022.4599609375,10107.958336443215,9878.312309160287,10102.558048425275,0
2007-10-05,9767.46484375,10083.608252219192,9710.815529259231,10026.209928519418,0
2007-10-08,9405.7216796875,9889.962478997732,9231.224995165796,9767.214811232465,0
2007-10-09,9801.96484375,9817.814153104558,9206.525919833934,9355.223300370548,0
2007-10-10,10037.5595703125,10090.908167573287,9798.61390820824,9798.61390820824,0
2007-10-11,10211.95703125,10247.355775051261,9935.66148154716,10082.358899201969,0
2007-10-12,10019.9609375,10275.005919906333,9961.111464263106,10125.408162499083,0
2007-10-15,10250.7060546875,10280.404710401543,10027.760086051054,10027.760086051054,0
2007-10-16,10292.8544921875,10348.503826836173,10135.407284521212,10236.456148314182,0
2007-10-17,9922.8115234375,9988.0104803434,9298.273581392375,9943.311134062358,0
2007-10-18,9532.5693359375,10196.957134889195,9412.871409175374,9975.560940230103,0
2007-10-19,9115.8271484375,9605.0678716026,8951.330267577698,9566.168218581077,0
2007-10-22,9165.7265625,9234.225263421235,8908.380857127193,9062.377936570552,0
2007-10-23,9796.71484375,9835.01392306429,9216.625244537547,9216.625244537547,0
2007-10-24,9888.212890625,10016.76025780113,9739.215715905015,9889.41208663588,0
2007-10-25,9940.3115234375,10045.309532588039,9843.963740896479,9892.612232543172,0
2007-10-26,10268.4560546875,10285.105153657036,9914.962744734516,9958.7119167584,0
2007-10-29,10392.802734375,10521.750482132331,10344.003855938243,10344.003855938243,0
2007-10-30,10584.7998046875,10681.998161641617,10336.604303613607,10434.203043620091,0
2007-10-31,10643.09765625,10726.446659107909,10575.499330795932,10631.498267186647,0
2007-11-01,10467.0517578125,10865.594014253316,10406.102716852867,10756.846073900108,0
2007-11-02,10597.4990234375,10613.198920719515,10209.655799911481,10517.450738303205,0
2007-11-05,10600.798828125,10828.494702441818,10553.200122032962,10582.299179193738,0
2007-11-06,10466.2021484375,10806.795306577204,10378.653025470936,10658.647722041826,0
2007-11-07,10431.052734375,10668.948626059868,10280.9559635374,10556.700748822375,0
2007-11-08,10460.501953125,10513.600556201902,10216.056390422225,10396.90257249107,0
